time_s,Cell0_mV,Cell1_mV,Cell2_mV,Cell3_mV,Cell4_mV,Cell5_mV,Cell6_mV,Cell7_mV,Cell8_mV,Cell9_mV,V_stack_V,Current_mA
0.0,66.0,0.0,0.0,444.0,382.0,524.0,430.0,697.0,177.0,314.0,3.034,655.0
1.0,39.0,0.0,0.0,388.0,336.0,463.0,372.0,554.0,165.0,241.0,2.558,629.0
2.0,31.0,0.0,0.0,361.0,319.0,436.0,345.0,497.0,158.0,218.0,2.365,621.0
3.0,25.0,0.0,0.0,346.0,311.0,420.0,327.0,463.0,151.0,200.0,2.243,613.0
4.0,25.0,0.0,0.0,329.0,302.0,407.0,317.0,441.0,143.0,187.0,2.151,611.0
5.0,18.0,0.0,0.0,326.0,299.0,395.0,306.0,420.0,143.0,182.0,2.089,603.0
6.0,22.0,0.0,0.0,316.0,292.0,387.0,299.0,407.0,138.0,172.0,2.033,603.0
7.0,22.0,0.0,0.0,311.0,290.0,381.0,292.0,390.0,135.0,167.0,1.988,598.0
8.0,20.0,0.0,0.0,305.0,288.0,375.0,284.0,379.0,134.0,163.0,1.948,594.0
9.0,16.0,0.0,0.0,303.0,283.0,365.0,278.0,371.0,132.0,158.0,1.906,592.0
10.0,16.0,0.0,0.0,299.0,284.0,361.0,275.0,359.0,131.0,155.0,1.88,595.0
11.0,17.0,0.0,0.0,296.0,280.0,356.0,271.0,351.0,129.0,152.0,1.852,593.0
12.0,21.0,0.0,0.0,291.0,281.0,351.0,267.0,343.0,128.0,150.0,1.832,590.0
13.0,17.0,0.0,0.0,289.0,280.0,346.0,263.0,336.0,127.0,148.0,1.806,592.0
14.0,18.0,0.0,0.0,289.0,279.0,346.0,260.0,328.0,125.0,144.0,1.789,589.0
15.0,20.0,0.0,0.0,284.0,277.0,343.0,257.0,322.0,126.0,142.0,1.771,586.0
16.0,19.0,0.0,0.0,280.0,275.0,340.0,256.0,314.0,125.0,140.0,1.749,585.0
17.0,19.0,0.0,0.0,278.0,274.0,337.0,256.0,312.0,124.0,138.0,1.738,581.0
18.0,19.0,0.0,0.0,275.0,274.0,333.0,252.0,307.0,124.0,136.0,1.72,588.0
19.0,18.0,0.0,0.0,277.0,270.0,329.0,249.0,301.0,127.0,136.0,1.707,585.0
20.0,16.0,0.0,0.0,275.0,274.0,329.0,246.0,295.0,127.0,134.0,1.696,584.0
21.0,19.0,0.0,0.0,272.0,272.0,324.0,248.0,289.0,126.0,133.0,1.683,582.0
22.0,18.0,0.0,0.0,270.0,270.0,323.0,245.0,287.0,126.0,131.0,1.67,586.0
23.0,17.0,0.0,0.0,271.0,269.0,322.0,242.0,281.0,128.0,133.0,1.663,584.0
24.0,19.0,0.0,0.0,270.0,272.0,324.0,242.0,277.0,128.0,131.0,1.663,582.0
25.0,20.0,0.0,0.0,267.0,270.0,320.0,241.0,276.0,126.0,127.0,1.647,580.0
26.0,20.0,0.0,0.0,269.0,269.0,318.0,234.0,270.0,130.0,129.0,1.639,580.0
27.0,18.0,0.0,0.0,267.0,271.0,320.0,237.0,267.0,130.0,129.0,1.639,582.0
28.0,20.0,0.0,0.0,264.0,270.0,313.0,236.0,265.0,128.0,127.0,1.623,582.0
29.0,18.0,0.0,0.0,266.0,267.0,315.0,236.0,261.0,131.0,129.0,1.623,584.0
30.0,14.0,0.0,0.0,264.0,271.0,313.0,233.0,257.0,132.0,127.0,1.611,583.0
31.0,19.0,0.0,0.0,260.0,269.0,315.0,236.0,256.0,129.0,123.0,1.607,582.0
32.0,18.0,0.0,0.0,263.0,268.0,311.0,232.0,252.0,134.0,129.0,1.607,583.0
33.0,21.0,0.0,0.0,262.0,268.0,314.0,234.0,247.0,131.0,129.0,1.606,584.0
34.0,18.0,0.0,0.0,260.0,268.0,311.0,230.0,246.0,136.0,124.0,1.593,584.0
35.0,17.0,0.0,0.0,261.0,269.0,313.0,229.0,241.0,134.0,127.0,1.591,580.0
36.0,19.0,0.0,0.0,258.0,267.0,311.0,230.0,242.0,137.0,124.0,1.588,584.0
37.0,17.0,0.0,0.0,262.0,270.0,309.0,228.0,238.0,136.0,126.0,1.586,583.0
38.0,19.0,0.0,0.0,256.0,267.0,309.0,228.0,233.0,138.0,124.0,1.574,584.0
39.0,21.0,0.0,0.0,257.0,269.0,309.0,227.0,232.0,137.0,125.0,1.577,580.0
40.0,15.0,0.0,0.0,259.0,268.0,308.0,227.0,230.0,139.0,127.0,1.573,583.0
41.0,20.0,0.0,0.0,255.0,268.0,310.0,228.0,225.0,137.0,125.0,1.568,577.0
42.0,16.0,0.0,0.0,257.0,268.0,308.0,225.0,229.0,139.0,126.0,1.568,582.0
43.0,20.0,0.0,0.0,254.0,267.0,307.0,227.0,227.0,137.0,124.0,1.563,580.0
44.0,16.0,0.0,0.0,256.0,268.0,309.0,224.0,223.0,141.0,126.0,1.563,583.0
45.0,19.0,0.0,0.0,252.0,267.0,308.0,223.0,223.0,142.0,123.0,1.557,582.0
46.0,14.0,0.0,0.0,255.0,268.0,308.0,223.0,219.0,139.0,126.0,1.552,581.0
47.0,15.0,0.0,0.0,248.0,266.0,307.0,225.0,219.0,143.0,123.0,1.546,582.0
48.0,19.0,0.0,0.0,254.0,268.0,308.0,223.0,214.0,141.0,123.0,1.55,581.0
49.0,18.0,0.0,0.0,255.0,265.0,306.0,223.0,214.0,145.0,125.0,1.551,583.0
50.0,20.0,0.0,0.0,249.0,267.0,308.0,222.0,210.0,143.0,124.0,1.543,582.0
51.0,17.0,0.0,0.0,253.0,267.0,304.0,220.0,210.0,146.0,121.0,1.538,581.0
52.0,19.0,0.0,0.0,250.0,267.0,307.0,222.0,204.0,144.0,123.0,1.536,582.0
53.0,16.0,0.0,0.0,253.0,270.0,307.0,219.0,207.0,147.0,125.0,1.544,582.0
54.0,17.0,0.0,0.0,251.0,265.0,305.0,220.0,207.0,147.0,119.0,1.531,583.0
55.0,20.0,0.0,0.0,250.0,266.0,307.0,220.0,199.0,146.0,124.0,1.532,579.0
56.0,17.0,0.0,0.0,251.0,264.0,304.0,216.0,203.0,149.0,126.0,1.53,582.0
57.0,19.0,0.0,0.0,248.0,266.0,305.0,219.0,200.0,147.0,123.0,1.527,577.0
58.0,16.0,0.0,0.0,247.0,266.0,305.0,217.0,198.0,149.0,125.0,1.523,581.0
59.0,18.0,0.0,0.0,248.0,265.0,305.0,218.0,199.0,147.0,125.0,1.525,584.0
60.0,17.0,0.0,0.0,247.0,266.0,308.0,216.0,194.0,149.0,124.0,1.521,582.0
61.0,14.0,0.0,0.0,250.0,263.0,303.0,216.0,192.0,152.0,125.0,1.515,581.0
62.0,19.0,0.0,0.0,245.0,264.0,305.0,217.0,196.0,147.0,123.0,1.516,582.0
