cell,RMSE_mV,xi1,xi2,xi3,xi4,B,c
Cell0,2.7948,-0.88417943,0.010610204,0.00050249916,-0.001261376,2.9294976e-09,1.012286e-07
Cell1,7.7311,-7.4567652,0.0011101784,-0.0010391895,-0.0033182267,0.30534459,2.2349874e-07
Cell2,22.2943,1.3499134,0.0018701537,0.0013491526,-0.0080662511,1.0034861,1.0526643e-06
Cell3,9.9817,-2.8849721,0.0012993728,-0.00046107429,-0.0013037594,1.3433605e-08,1.4672439e-07
Cell4,4.8197,-7.9348531,0.01121621,-0.00080986965,-0.0011841779,4.7380289e-09,8.8016345e-08
Cell5,3.0465,-7.9669594,0.0032784214,-0.0012953909,-0.0011400398,6.3678118e-10,8.0866721e-08
Cell6,3.3875,1.3540867,0.025323343,0.0018677968,-0.0012318592,1.6129859e-09,4.541447e-08
Cell7,3.8618,-6.2548556,0.0063930317,-0.00052004737,-0.0025331913,0.18083687,4.8401125e-07
Cell8,3.5148,-0.65495757,0.00272107,0.0001051494,-0.0016459408,0.043426066,7.6589969e-07
Cell9,4.5023,-3.0321599,0.0092424866,0.0003117381,-0.0028355794,0.22896308,1.6575342e-06
