cell,RMSE_mV,xi1,xi2,xi3,xi4,B,c
Cell0,2.1714,-5.8681283856602855,0.004210770338887372,0.0038738840479714,-0.00037501688284105866,1.8958252176735084,2.864326240871115e-07
Cell1,,,,,,,
Cell2,,,,,,,
Cell3,9.8107,-6.695833660535871,0.0011074675201240935,0.002030500044686879,-0.006650463130226121,1.2200933807771068,1.2080900892336383e-07
Cell4,5.6929,-2.5047931399639927,0.00047851023913603706,0.002845989242654776,-0.003277730922864437,1.2908836520705593,3.3789908165555993e-06
Cell5,3.2333,-7.50776411206234,0.0166238074059478,0.004181613782965494,-0.0016320278687026505,1.7872115617444957,4.7497933941619813e-07
Cell6,8.9885,-1.7455246008085918,0.008628778835407771,0.00460447385482737,-0.006290688881530898,1.6766415495281857,7.552682185687359e-07
Cell7,16.2465,-1.8113866856453327,0.027705957516148818,0.002807672689628603,-0.009999999976935991,0.46667784669315276,1.6964521744186243e-08
Cell8,9.4951,-5.03483521178395,0.008894712367527223,0.004451279701997359,-4.820336838018413e-13,1.9350669632391626,0.009999994707450848
Cell9,2.2055,-7.596195351648698,0.009666736264097347,0.0016359046033899915,-1.4908664580648434e-12,1.017597191656093,0.009999999516615975
