cell,RMSE_mV,xi1,xi2,xi3,xi4,B,c
Cell0,0.0846,-7.7832296,0.016699676,-0.0006060929,-9.4035023e-14,0.010774172,0.0099999776
Cell1,0.0846,-7.7832296,0.016699676,-0.0006060929,-9.4035023e-14,0.010774172,0.0099999776
Cell2,0.0846,-7.7832296,0.016699676,-0.0006060929,-9.4035023e-14,0.010774172,0.0099999776
Cell3,4.655,-1.9768836,0.02834311,0.001324788,-0.00031672207,1.6897357e-08,2.5373198e-08
Cell4,2.1754,0.38632194,0.014252745,0.00081100045,-0.00012409019,1.4690201e-08,7.0830854e-08
Cell5,4.2283,0.68221026,0.02995445,0.0019255324,-0.00029771621,8.2123817e-09,2.0844707e-07
Cell6,4.5063,1.7754495,0.0046167825,0.00048684939,-0.00027297814,8.6058431e-09,1.6940132e-08
Cell7,5.6221,1.7955693,0.025376346,0.0018209993,-0.0001990537,2.8971435e-09,3.296349e-08
Cell8,1.9582,-4.9455402,0.028050515,0.0006922756,-0.00013355239,9.6939957e-09,1.083206e-07
Cell9,11.2496,-5.3997549,0.020067286,9.3116981e-05,-0.00010625586,3.2148746e-07,2.6821002e-07
